ID;Name;Id_Team;Squad_number;Position;Birthdate;Height;Weight;University
1001;Jayson Tatum;1001;0;F-G;3/03/1998;203,2;210;Duke
1001;Jrue Holiday;1001;4;G;12/06/1990;193,04;205;UCLA
1001;Jaylen Brown;1001;7;G-F;24/10/1996;198,12;223;California
1001;Kristaps Porzingis;1001;8;F-C;2/08/1995;218,44;240;Cajasol Sevilla
1001;Derrick White;1001;9;G;2/07/1994;193,04;190;Colorado
1001;Payton Pritchard;1001;11;G;28/01/1998;185,42;195;Oregon
1001;Oshae Brissett;1001;12;F-G;20/06/1998;200,66;210;Syracuse
1001;Drew Peterson;1001;13;F;9/11/1999;205,74;205;Southern California
1001;JD Davison;1001;20;G;3/10/2002;185,42;195;Alabama
1001;Xavier Tillman;1001;26;F;12/01/1999;200,66;245;Michigan State
1001;Jordan Walsh;1001;27;G;3/03/2004;198,12;205;Arkansas
1001;Sam Hauser;1001;30;F;8/12/1997;200,66;217;Virginia
1001;Luke Kornet;1001;40;C-F;15/07/1995;215,9;250;Vanderbilt
1001;Al Horford;1001;42;C-F;3/06/1986;205,74;240;Florida
1001;Jaden Springer;1001;44;G;25/09/2002;193,04;202;Tennessee
1001;Svi Mykhailiuk;1001;50;G-F;10/06/1997;200,66;205;Kansas
1001;Neemias Queta;1001;88;C;13/07/1999;213,36;248;Utah State
1002;Dariq Whitehead;1002;0;F;1/08/2004;198,12;220;Duke
1002;Mikal Bridges;1002;1;G-F;30/08/1996;198,12;209;Villanova
1002;Cameron Johnson;1002;2;F;3/03/1996;203,2;210;North Carolina
1002;Dennis Smith Jr.;1002;4;G;25/11/1997;190,5;205;North Carolina State
1002;Lonnie Walker IV;1002;8;G-F;14/12/1998;193,04;204;Miami
1002;Trendon Watford;1002;9;F;9/11/2000;203,2;237;Louisiana State
1002;Ben Simmons;1002;10;G-F;20/07/1996;208,28;240;Louisiana State
1002;Keita Bates-Diop;1002;13;F;23/01/1996;203,2;229;Ohio State
1002;Jacob Gilyard;1002;14;G;14/07/1998;172,72;160;Richmond
1002;Jaylen Martin;1002;16;G;28/01/2004;198,12;216;Overtime Elite
1002;Dennis Schroder;1002;17;G;15/09/1993;185,42;175;Braunschweig
1002;Day'Ron Sharpe;1002;20;C;6/11/2001;205,74;265;North Carolina
1002;Noah Clowney;1002;21;F;14/07/2004;205,74;210;Alabama
1002;Jalen Wilson;1002;22;F;4/11/2000;198,12;220;Kansas
1002;Cam Thomas;1002;24;G;13/10/2001;190,5;210;Louisiana State
1002;Dorian Finney-Smith;1002;28;F;4/05/1993;200,66;220;Florida
1002;Nic Claxton;1002;33;C;17/04/1999;210,82;215;Georgia
1002;Keon Johnson;1002;45;G;10/03/2002;195,58;185;Tennessee
1003;Donte DiVincenzo;1003;0;G;31/01/1997;193,04;203;Villanova
1003;Jacob Toppin;1003;0;F;8/05/2000;203,2;200;Kentucky
1003;Duane Washington Jr.;1003;1;G;24/03/2000;187,96;197;Ohio State
1003;Miles McBride;1003;2;G;8/09/2000;185,42;195;West Virginia
1003;Josh Hart;1003;3;G;6/03/1995;193,04;215;Villanova
1003;Charlie Brown Jr.;1003;4;G;2/02/1997;198,12;199;St. Joseph's (PA)
1003;Precious Achiuwa;1003;5;F;19/09/1999;203,2;243;Memphis
1003;OG Anunoby;1003;8;F-G;17/07/1997;200,66;240;Indiana
1003;DaQuan Jeffries;1003;8;G-F;30/08/1997;195,58;222;Tulsa
1003;Jalen Brunson;1003;11;G;31/08/1996;187,96;190;Villanova
1003;Shake Milton;1003;13;G-F;26/09/1996;195,58;205;Southern Methodist
1003;Alec Burks;1003;18;G;20/07/1991;195,58;214;Colorado
1003;Mamadi Diakite;1003;21;F;21/01/1997;205,74;228;Virginia
1003;Mitchell Robinson;1003;23;C-F;1/04/1998;213,36;240;Western Kentucky
1003;Julius Randle;1003;30;F-C;29/11/1994;203,2;250;Kentucky
1003;Bojan Bogdanovic;1003;44;F;18/04/1989;200,66;226;Fenerbahce
1003;Jericho Sims;1003;45;C;20/10/1998;208,28;250;Texas
1003;Isaiah Hartenstein;1003;55;C-F;5/05/1998;213,36;250;Zalgiris
1004;Tyrese Maxey;1004;0;G;4/11/2000;187,96;200;Kentucky
1004;KJ Martin;1004;1;F;6/01/2001;198,12;215;IMG Academy (FL)
1004;Mo Bamba;1004;5;C;12/05/1998;213,36;231;Texas
1004;Kyle Lowry;1004;7;G;25/03/1986;182,88;196;Villanova
1004;De'Anthony Melton;1004;8;G;28/05/1998;190,5;200;Southern California
1004;Kelly Oubre Jr.;1004;9;F-G;9/12/1995;200,66;203;Kansas
1004;Jeff Dowtin Jr.;1004;11;G;10/05/1997;190,5;177;Rhode Island
1004;Tobias Harris;1004;12;F;15/07/1992;203,2;226;Tennessee
1004;Ricky Council IV;1004;16;G;3/08/2001;198,12;207;Arkansas
1004;Buddy Hield;1004;17;G;17/12/1992;193,04;220;Oklahoma
1004;Joel Embiid;1004;21;C-F;16/03/1994;213,36;280;Kansas
1004;Cameron Payne;1004;22;G;8/08/1994;190,5;183;Murray State
1004;Terquavion Smith;1004;23;G;31/12/2002;193,04;160;North Carolina State
1004;Robert Covington;1004;33;F;14/12/1990;200,66;209;Tennessee State
1004;Nicolas Batum;1004;40;G-F;14/12/1988;203,2;230;Le Mans
1004;Paul Reed;1004;44;F;14/06/1999;205,74;210;DePaul
1005;Malik Williams;1005;;C;26/08/1998;210,82;250;Louisville
1005;Javon Freeman-Liberty;1005;0;G;20/10/1999;190,5;190;DePaul
1005;Gradey Dick;1005;1;G-F;20/11/2003;198,12;200;Kansas
1005;Jalen McDaniels;1005;2;F;31/01/1998;205,74;190;San Diego State
1005;D.J. Carton;1005;3;G;5/08/2000;190,5;200;Marquette
1005;Scottie Barnes;1005;4;F-G;1/08/2001;200,66;237;Florida State
1005;Immanuel Quickley;1005;5;G;17/06/1999;187,96;190;Kentucky
1005;RJ Barrett;1005;9;F-G;14/06/2000;198,12;214;Duke
1005;Bruce Brown;1005;11;G-F;15/08/1996;193,04;202;Miami
1005;Jordan Nwora;1005;13;F;9/09/1998;203,2;225;Louisville
1005;Mouhamadou Gueye;1005;16;F;6/07/1998;205,74;210;Pittsburgh
1005;Garrett Temple;1005;17;G-F;8/05/1986;195,58;195;Louisiana State
1005;Jakob Poeltl;1005;19;C;15/10/1995;213,36;260;Utah
1005;Chris Boucher;1005;25;F;11/01/1993;205,74;200;Oregon
1005;Ochai Agbaji;1005;30;G;20/04/2000;195,58;215;Kansas
1005;Gary Trent Jr.;1005;33;G;18/01/1999;195,58;204;Duke
1005;Kelly Olynyk;1005;41;F-C;19/04/1991;210,82;240;Gonzaga
1006;Andrew Funk;1006;;G;21/09/1999;195,58;200;Penn State
1006;Coby White;1006;0;G;16/02/2000;195,58;195;North Carolina
1006;Lonzo Ball;1006;2;G;27/10/1997;198,12;190;UCLA
1006;Andre Drummond;1006;3;C;10/08/1993;210,82;279;Connecticut
1006;Jevon Carter;1006;5;G;14/09/1995;185,42;200;West Virginia
1006;Alex Caruso;1006;6;G;28/02/1994;195,58;186;Texas A&M
1006;Zach LaVine;1006;8;G;10/03/1995;195,58;200;UCLA
1006;Nikola Vucevic;1006;9;C;24/10/1990;208,28;260;Southern California
1006;DeMar DeRozan;1006;11;G-F;7/08/1989;198,12;220;Southern California
1006;Ayo Dosunmu;1006;12;G;17/01/2000;195,58;200;Illinois
1006;Torrey Craig;1006;13;F;19/12/1990;195,58;221;South Carolina Upstate
1006;Julian Phillips;1006;15;F;5/11/2003;203,2;198;Tennessee
1006;Onuralp Bitim;1006;17;F;31/03/1999;198,12;215;Bursaspor
1006;Adama Sanogo;1006;21;F;12/02/2002;205,74;245;Connecticut
1006;Javonte Green;1006;24;G;23/07/1993;195,58;205;Radford
1006;Dalen Terry;1006;25;F;12/07/2002;200,66;195;Arizona
1006;Patrick Williams;1006;44;F;26/08/2001;200,66;215;Florida State
1006;Henri Drell;1006;77;F;25/04/2000;205,74;220;Victoria Libertas
1007;Max Strus;1007;1;G-F;28/03/1996;195,58;215;DePaul
1007;Ty Jerome;1007;2;G-F;8/07/1997;195,58;195;Virginia
1007;Caris LeVert;1007;3;G;25/08/1994;198,12;205;Michigan
1007;Evan Mobley;1007;4;C;18/06/2001;210,82;215;Southern California
1007;Sam Merrill;1007;5;G;15/05/1996;193,04;205;Utah State
1007;Pete Nance;1007;8;F;19/02/2000;208,28;225;North Carolina
1007;Craig Porter Jr.;1007;9;G;26/02/2000;185,42;180;Wichita State
